t,y,y2
20.217,-3.25E-03,-4.06E-03
20.233,-2.37E-03,-2.69E-03
20.25,-1.45E-03,-1.19E-03
20.267,-6.23E-04,3.73E-04
20.283,2.49E-05,1.88E-03
20.3,6.23E-04,3.34E-03
20.317,1.11E-03,4.78E-03
20.333,1.78E-03,5.70E-03
20.35,2.29E-03,6.38E-03
20.367,2.45E-03,6.93E-03
20.383,2.69E-03,7.08E-03
20.4,2.74E-03,6.81E-03
20.417,2.59E-03,6.27E-03
20.433,2.50E-03,5.48E-03
20.45,2.08E-03,4.17E-03
20.467,1.74E-03,2.72E-03
20.483,1.34E-03,1.21E-03
20.5,6.94E-04,-3.34E-04
20.517,-1.48E-05,-1.84E-03
20.533,-8.18E-04,-3.30E-03
20.55,-1.56E-03,-4.46E-03
20.567,-2.08E-03,-5.57E-03
20.583,-2.44E-03,-6.29E-03
20.6,-2.53E-03,-6.41E-03
20.617,-2.48E-03,-6.36E-03
20.633,-2.34E-03,-6.24E-03
20.65,-1.89E-03,-5.52E-03
20.667,-1.46E-03,-4.70E-03
20.683,-9.57E-04,-3.44E-03
20.7,-2.12E-04,-2.01E-03
20.717,3.74E-04,-5.01E-04
20.733,1.13E-03,1.03E-03
20.75,1.59E-03,2.51E-03
20.767,2.02E-03,3.85E-03
20.783,2.51E-03,4.94E-03
20.8,2.67E-03,5.78E-03
20.817,2.70E-03,6.45E-03
20.833,2.71E-03,6.74E-03
20.85,2.71E-03,6.85E-03
20.867,2.53E-03,6.39E-03
20.883,2.11E-03,5.59E-03
20.9,1.50E-03,4.75E-03
20.917,6.90E-04,3.35E-03
20.933,2.61E-05,1.92E-03
20.95,-7.72E-04,4.29E-04
20.967,-1.52E-03,-1.06E-03
20.983,-2.28E-03,-2.53E-03
21,-3.05E-03,-3.94E-03
21.017,-3.82E-03,-4.90E-03
21.033,-4.35E-03,-5.75E-03
21.05,-4.66E-03,-6.20E-03
21.067,-4.71E-03,-6.48E-03
21.083,-4.68E-03,-6.22E-03
21.1,-4.33E-03,-6.03E-03
21.117,-3.81E-03,-5.34E-03
21.133,-3.16E-03,-4.52E-03
21.15,-2.39E-03,-3.26E-03
21.167,-1.65E-03,-1.82E-03
21.183,-8.28E-04,-3.53E-04
21.2,4.30E-05,1.16E-03
21.217,7.38E-04,2.61E-03
21.233,1.45E-03,4.03E-03
21.25,1.83E-03,5.24E-03
21.267,2.51E-03,6.22E-03
21.283,2.79E-03,6.84E-03
21.3,3.24E-03,6.99E-03
21.317,3.31E-03,6.99E-03
21.333,3.33E-03,6.40E-03
21.35,3.33E-03,5.62E-03
21.367,2.99E-03,4.71E-03
21.383,2.68E-03,3.40E-03
21.4,2.11E-03,2.04E-03
21.417,1.35E-03,4.68E-04
21.433,5.54E-04,-1.03E-03
21.45,-2.35E-04,-2.50E-03
21.467,-9.28E-04,-3.82E-03
21.483,-1.37E-03,-4.76E-03
21.5,-1.78E-03,-5.56E-03
21.517,-2.25E-03,-6.10E-03
21.533,-2.40E-03,-6.28E-03
21.55,-2.39E-03,-6.25E-03
21.567,-2.28E-03,-5.63E-03
21.583,-1.82E-03,-4.86E-03
21.6,-1.42E-03,-3.99E-03
21.617,-8.22E-04,-2.70E-03
21.633,-3.29E-04,-1.33E-03
21.65,7.64E-05,1.91E-04
21.667,4.49E-04,1.67E-03
21.683,7.42E-04,2.92E-03
21.7,1.13E-03,4.18E-03
21.717,1.42E-03,5.02E-03
21.733,1.69E-03,5.67E-03
21.75,1.78E-03,6.12E-03
21.767,1.81E-03,6.23E-03
21.783,1.58E-03,6.13E-03
21.8,1.37E-03,5.53E-03
21.817,1.11E-03,4.80E-03
21.833,6.15E-04,3.70E-03
21.85,-1.49E-04,2.51E-03
21.867,-9.42E-04,1.15E-03
21.883,-1.83E-03,-3.17E-04
21.9,-2.53E-03,-1.68E-03
21.917,-3.23E-03,-3.10E-03
21.933,-3.77E-03,-4.07E-03
21.95,-4.16E-03,-4.93E-03
21.967,-4.47E-03,-5.60E-03
21.983,-4.52E-03,-6.11E-03
22,-4.53E-03,-6.16E-03
22.017,-4.10E-03,-6.03E-03
22.033,-3.77E-03,-5.43E-03
22.05,-3.22E-03,-4.71E-03
22.067,-2.41E-03,-3.44E-03
22.083,-1.56E-03,-2.32E-03
22.1,-8.24E-04,-9.69E-04
22.117,-9.29E-05,4.41E-04
22.133,6.62E-04,1.88E-03
22.15,1.26E-03,3.24E-03
22.167,1.92E-03,4.55E-03
22.183,2.68E-03,5.49E-03
22.2,3.24E-03,6.18E-03
22.217,3.66E-03,6.44E-03
22.233,3.65E-03,6.42E-03
22.25,3.65E-03,6.27E-03
22.267,3.60E-03,5.71E-03
22.283,3.53E-03,4.86E-03
22.3,2.93E-03,3.81E-03
22.317,2.27E-03,2.58E-03
22.333,1.50E-03,1.24E-03
22.35,7.45E-04,-2.31E-04
22.367,-1.52E-05,-1.56E-03
22.383,-7.38E-04,-2.83E-03
22.4,-1.45E-03,-3.98E-03
22.417,-1.65E-03,-4.76E-03
22.433,-1.93E-03,-5.49E-03
22.45,-2.21E-03,-5.69E-03
22.467,-2.40E-03,-5.99E-03
22.483,-2.31E-03,-5.65E-03
22.5,-2.36E-03,-5.34E-03
22.517,-2.18E-03,-4.38E-03
22.533,-1.69E-03,-3.32E-03
22.55,-1.16E-03,-1.99E-03
22.567,-8.68E-04,-7.92E-04
22.583,-7.26E-04,4.46E-04
22.6,-2.53E-04,1.79E-03
22.617,2.90E-06,3.12E-03
22.633,4.95E-04,4.02E-03
22.65,1.15E-03,4.77E-03
22.667,1.38E-03,5.38E-03
22.683,1.35E-03,5.62E-03
22.7,1.22E-03,5.59E-03
22.717,8.85E-04,5.34E-03
22.733,4.66E-04,4.79E-03
22.75,3.47E-04,3.97E-03
22.767,8.62E-06,2.70E-03
22.783,-6.13E-04,1.78E-03
22.8,-1.43E-03,4.51E-04
22.817,-2.24E-03,-9.30E-04
22.833,-2.93E-03,-1.94E-03
22.85,-3.54E-03,-3.22E-03
22.867,-3.92E-03,-4.07E-03
22.883,-4.00E-03,-4.80E-03
22.9,-3.99E-03,-5.43E-03
22.917,-3.92E-03,-5.61E-03
22.933,-3.78E-03,-5.55E-03
22.95,-3.44E-03,-5.31E-03
22.967,-3.05E-03,-4.65E-03
22.983,-2.40E-03,-3.88E-03
23,-1.71E-03,-2.75E-03
23.017,-8.20E-04,-1.61E-03
23.033,-5.98E-05,-3.41E-04
23.05,6.19E-04,1.11E-03
23.067,1.22E-03,2.44E-03
23.083,1.81E-03,3.73E-03
23.1,2.18E-03,4.78E-03
23.117,2.80E-03,5.51E-03
23.133,3.36E-03,6.15E-03
23.15,3.86E-03,6.31E-03
23.167,4.01E-03,6.25E-03
23.183,4.05E-03,5.94E-03
23.2,3.58E-03,5.45E-03
23.217,3.01E-03,4.54E-03
23.233,2.49E-03,3.41E-03
23.25,2.04E-03,2.11E-03
23.267,1.47E-03,9.31E-04
23.283,7.01E-04,-3.64E-04
23.3,-2.76E-05,-1.72E-03
23.317,-9.89E-04,-2.78E-03
23.333,-1.68E-03,-3.87E-03
23.35,-2.08E-03,-4.67E-03
23.367,-2.31E-03,-5.26E-03
23.383,-2.33E-03,-5.52E-03
23.4,-2.33E-03,-5.52E-03
23.417,-2.30E-03,-5.24E-03
23.433,-2.42E-03,-4.71E-03
23.45,-2.38E-03,-3.88E-03
23.467,-2.24E-03,-2.73E-03
23.483,-1.87E-03,-1.67E-03
23.5,-1.36E-03,-4.16E-04
23.517,-9.02E-04,9.62E-04
23.533,-5.20E-04,1.94E-03
23.55,-9.04E-05,3.14E-03
23.567,6.60E-05,4.02E-03
23.583,2.58E-04,4.70E-03
23.6,5.09E-04,4.96E-03
23.617,7.55E-04,5.16E-03
23.633,8.18E-04,4.96E-03
23.65,6.20E-04,4.72E-03
23.667,2.74E-04,4.04E-03
23.683,-1.89E-04,3.30E-03
23.7,-8.87E-04,2.30E-03
23.717,-1.36E-03,1.19E-03
23.733,-1.77E-03,1.81E-04
23.75,-2.26E-03,-1.04E-03
23.767,-2.86E-03,-2.28E-03
23.783,-3.11E-03,-3.29E-03
23.8,-3.35E-03,-4.06E-03
23.817,-3.31E-03,-4.72E-03
23.833,-3.40E-03,-5.05E-03
23.85,-3.16E-03,-5.26E-03
23.867,-2.92E-03,-5.04E-03
23.883,-2.55E-03,-4.61E-03
23.9,-1.90E-03,-3.99E-03
23.917,-1.37E-03,-3.22E-03
23.933,-9.25E-04,-1.97E-03
23.95,-3.94E-04,-9.32E-04
23.967,4.58E-04,3.49E-04
23.983,1.31E-03,1.73E-03
24,2.04E-03,2.75E-03
24.017,2.73E-03,3.93E-03
24.033,3.31E-03,4.74E-03
24.05,3.63E-03,5.46E-03
24.067,4.00E-03,5.73E-03
24.083,4.15E-03,5.95E-03
24.1,4.15E-03,5.70E-03
24.117,4.05E-03,5.37E-03
24.133,3.67E-03,4.71E-03
24.15,3.01E-03,3.93E-03
24.167,2.27E-03,2.74E-03
24.183,1.43E-03,1.76E-03
24.2,7.49E-04,3.98E-04
24.217,1.27E-04,-8.05E-04
24.233,-3.50E-04,-1.87E-03
24.25,-8.29E-04,-3.09E-03
24.267,-1.43E-03,-4.01E-03
24.283,-2.14E-03,-4.75E-03
24.3,-2.50E-03,-5.04E-03
24.317,-2.58E-03,-5.24E-03
24.333,-2.53E-03,-5.02E-03
24.35,-2.51E-03,-4.70E-03
24.367,-2.45E-03,-4.01E-03
24.383,-2.31E-03,-3.27E-03
24.4,-2.35E-03,-2.31E-03
24.417,-2.18E-03,-1.14E-03
24.433,-1.83E-03,-8.28E-05
24.45,-1.31E-03,1.05E-03
24.467,-8.61E-04,2.01E-03
24.483,-2.59E-04,2.99E-03
24.5,1.20E-04,3.83E-03
24.517,3.69E-04,4.56E-03
24.533,4.35E-04,4.84E-03
24.55,3.07E-04,4.84E-03
24.567,2.39E-04,4.77E-03
24.583,1.41E-04,4.29E-03
24.6,1.45E-05,3.86E-03
24.617,-3.40E-04,2.84E-03
24.633,-8.65E-04,1.88E-03
24.65,-1.45E-03,9.53E-04
24.667,-2.15E-03,-2.36E-04
24.683,-2.44E-03,-1.18E-03
24.7,-2.52E-03,-2.37E-03
24.717,-2.47E-03,-3.29E-03
24.733,-2.46E-03,-4.03E-03
24.75,-2.46E-03,-4.64E-03
24.767,-2.45E-03,-4.81E-03
24.783,-2.44E-03,-4.79E-03
24.8,-2.42E-03,-4.66E-03
24.817,-2.16E-03,-4.13E-03
24.833,-1.70E-03,-3.39E-03
24.85,-8.79E-04,-2.57E-03
24.867,-1.56E-04,-1.55E-03
24.883,4.74E-04,-4.56E-04
24.9,1.03E-03,8.79E-04
24.917,1.62E-03,1.89E-03
24.933,2.23E-03,3.03E-03
24.95,2.90E-03,4.00E-03
24.967,3.62E-03,4.74E-03
24.983,4.08E-03,5.38E-03
25,4.15E-03,5.52E-03
25.017,4.11E-03,5.55E-03
25.033,3.76E-03,5.50E-03
25.05,3.41E-03,5.05E-03
25.067,2.96E-03,4.24E-03
25.083,2.55E-03,3.36E-03
25.1,1.96E-03,2.41E-03
25.117,1.38E-03,1.21E-03
25.133,6.40E-04,2.16E-04
25.15,-8.20E-05,-1.00E-03
25.167,-8.44E-04,-1.98E-03
25.183,-1.33E-03,-3.13E-03
25.2,-1.68E-03,-3.91E-03
25.217,-1.81E-03,-4.50E-03
25.233,-2.17E-03,-4.79E-03
25.25,-2.55E-03,-4.79E-03
25.267,-2.91E-03,-4.73E-03
25.283,-3.10E-03,-4.11E-03
25.3,-3.09E-03,-3.45E-03
25.317,-2.74E-03,-2.59E-03
25.333,-2.49E-03,-1.75E-03
25.35,-1.85E-03,-6.30E-04
25.367,-1.51E-03,3.83E-04
25.383,-1.08E-03,1.32E-03
25.4,-6.72E-04,2.39E-03
25.417,-2.67E-04,3.27E-03
25.433,5.31E-05,3.99E-03
25.45,3.08E-04,4.65E-03
25.467,5.37E-04,4.81E-03
25.483,5.50E-04,4.80E-03
25.5,3.37E-04,4.73E-03
25.517,8.46E-05,4.18E-03
25.533,-2.87E-04,3.53E-03
25.55,-6.31E-04,2.69E-03
25.567,-8.94E-04,1.82E-03
25.583,-1.05E-03,9.47E-04
25.6,-1.40E-03,-2.60E-04
25.617,-1.60E-03,-1.17E-03
25.633,-1.80E-03,-2.31E-03
25.65,-1.95E-03,-3.20E-03
25.667,-1.88E-03,-3.78E-03
25.683,-2.12E-03,-4.16E-03
25.7,-2.20E-03,-4.34E-03
25.717,-2.09E-03,-4.19E-03
25.733,-1.85E-03,-3.99E-03
25.75,-1.50E-03,-3.39E-03
25.767,-1.12E-03,-2.74E-03
25.783,-4.96E-04,-1.80E-03
25.8,2.39E-04,-9.59E-04
25.817,1.02E-03,2.30E-04
25.833,1.85E-03,1.21E-03
25.85,2.52E-03,2.37E-03
25.867,2.96E-03,3.30E-03
25.883,3.32E-03,4.04E-03
25.9,3.71E-03,4.76E-03
25.917,3.96E-03,5.22E-03
25.933,4.04E-03,5.49E-03
25.95,3.70E-03,5.49E-03
25.967,3.40E-03,5.22E-03
25.983,2.97E-03,4.84E-03
26,2.52E-03,4.10E-03
26.017,2.08E-03,3.25E-03
26.033,1.76E-03,2.09E-03
26.05,1.04E-03,1.11E-03
26.067,5.43E-04,-2.53E-04
26.083,-2.50E-04,-1.11E-03
26.1,-7.77E-04,-2.33E-03
26.117,-1.42E-03,-3.20E-03
26.133,-1.85E-03,-3.94E-03
26.15,-2.24E-03,-4.20E-03
26.167,-2.66E-03,-4.63E-03
26.183,-3.01E-03,-4.67E-03
26.2,-3.14E-03,-4.54E-03
26.217,-3.16E-03,-4.02E-03
26.233,-2.99E-03,-3.32E-03
26.25,-2.60E-03,-2.56E-03
26.267,-2.11E-03,-1.69E-03
26.283,-1.61E-03,-4.91E-04
26.3,-1.07E-03,4.10E-04
26.317,-5.61E-04,1.65E-03
26.333,-2.43E-04,2.54E-03
26.35,1.15E-04,3.32E-03
26.367,4.24E-04,4.03E-03
26.383,6.57E-04,4.66E-03
26.4,6.41E-04,4.83E-03
26.417,6.87E-04,4.82E-03
26.433,4.73E-04,4.72E-03
26.45,3.71E-04,4.11E-03
26.467,3.69E-04,3.40E-03
26.483,4.94E-05,2.64E-03
26.5,-7.30E-05,1.81E-03
26.517,-1.89E-04,8.16E-04
26.533,-3.26E-04,-3.13E-04
26.55,-7.06E-04,-1.15E-03
26.567,-1.13E-03,-2.04E-03
26.583,-1.35E-03,-2.73E-03
26.6,-1.59E-03,-3.30E-03
26.617,-1.75E-03,-3.83E-03
26.633,-1.67E-03,-4.00E-03
26.65,-1.70E-03,-3.96E-03
26.667,-1.47E-03,-3.80E-03
26.683,-1.11E-03,-3.27E-03
26.7,-4.73E-04,-2.55E-03
26.717,5.17E-05,-1.78E-03
26.733,6.40E-04,-8.35E-04
26.75,1.40E-03,2.97E-04
26.767,2.08E-03,1.23E-03
26.783,2.64E-03,2.24E-03
26.8,2.84E-03,3.26E-03
26.817,2.93E-03,4.02E-03
26.833,2.89E-03,4.75E-03
26.85,3.17E-03,5.03E-03
26.867,3.27E-03,5.24E-03
26.883,3.35E-03,5.33E-03
26.9,2.86E-03,4.90E-03
26.917,2.49E-03,4.27E-03
26.933,2.01E-03,3.50E-03
26.95,1.51E-03,2.52E-03
26.967,1.14E-03,1.66E-03
26.983,5.37E-04,4.29E-04
27,-1.12E-04,-4.67E-04
27.017,-8.56E-04,-1.68E-03
27.033,-1.59E-03,-2.57E-03
27.05,-2.32E-03,-3.31E-03
27.067,-2.87E-03,-3.95E-03
27.083,-3.20E-03,-4.21E-03
27.1,-3.35E-03,-4.49E-03
27.117,-3.43E-03,-4.56E-03
27.133,-3.38E-03,-4.14E-03
27.15,-3.27E-03,-3.61E-03
27.167,-3.07E-03,-3.13E-03
27.183,-2.58E-03,-2.09E-03
27.2,-1.96E-03,-1.11E-03
27.217,-1.24E-03,-2.68E-04
27.233,-4.81E-04,9.83E-04
27.25,-1.56E-04,1.91E-03
27.267,1.61E-04,2.72E-03
27.283,1.98E-04,3.45E-03
27.3,5.02E-04,4.13E-03
27.317,7.18E-04,4.66E-03
27.333,1.04E-03,4.77E-03
27.35,1.27E-03,4.77E-03
27.367,1.24E-03,4.60E-03
27.383,1.25E-03,4.04E-03
27.4,1.08E-03,3.34E-03
27.417,7.94E-04,2.58E-03
27.433,6.02E-04,1.64E-03
27.45,4.30E-04,5.16E-04
27.467,3.16E-04,-3.98E-04
27.483,-9.60E-05,-1.31E-03
27.5,-3.69E-04,-2.36E-03
27.517,-7.78E-04,-3.04E-03
27.533,-1.15E-03,-3.44E-03
27.55,-1.32E-03,-3.83E-03
27.567,-1.41E-03,-3.97E-03
27.583,-1.05E-03,-3.90E-03
27.6,-4.15E-04,-3.46E-03
27.617,-2.74E-05,-2.99E-03
27.633,3.75E-04,-2.33E-03
27.65,7.51E-04,-1.45E-03
27.667,1.09E-03,-4.52E-04
27.683,1.77E-03,6.00E-04
27.7,2.15E-03,1.66E-03
27.717,2.68E-03,2.59E-03
27.733,2.93E-03,3.39E-03
27.75,2.87E-03,4.08E-03
27.767,2.79E-03,4.66E-03
27.783,2.72E-03,4.92E-03
27.8,2.68E-03,4.96E-03
27.817,2.70E-03,4.78E-03
27.833,2.68E-03,4.42E-03
27.85,2.51E-03,3.87E-03
27.867,2.04E-03,3.10E-03
27.883,1.27E-03,2.11E-03
27.9,5.00E-04,1.11E-03
27.917,-1.72E-04,4.66E-05
27.933,-8.17E-04,-1.02E-03
27.95,-1.51E-03,-1.90E-03
27.967,-1.86E-03,-2.65E-03
27.983,-2.37E-03,-3.35E-03
28,-2.99E-03,-3.97E-03
28.017,-3.53E-03,-4.14E-03
28.033,-3.79E-03,-4.14E-03
28.05,-3.70E-03,-4.01E-03
28.067,-3.26E-03,-3.76E-03
28.083,-2.58E-03,-3.24E-03
28.1,-2.10E-03,-2.51E-03
28.117,-1.78E-03,-1.67E-03
28.133,-1.46E-03,-5.40E-04
28.15,-1.11E-03,4.38E-04
28.167,-6.35E-04,1.63E-03
28.183,-1.90E-04,2.58E-03
28.2,4.80E-04,3.36E-03
28.217,1.10E-03,4.08E-03
28.233,1.39E-03,4.75E-03
28.25,1.37E-03,5.02E-03
28.267,1.33E-03,4.95E-03
28.283,1.40E-03,4.79E-03
28.3,1.78E-03,4.54E-03
28.317,2.05E-03,4.02E-03
28.333,2.02E-03,3.24E-03
28.35,1.73E-03,2.31E-03
28.367,1.23E-03,1.26E-03
28.383,5.59E-04,3.55E-04
28.4,-1.55E-05,-8.12E-04
28.417,-2.09E-04,-1.74E-03
28.433,-3.01E-04,-2.52E-03
28.45,-3.79E-04,-3.25E-03
28.467,-3.97E-04,-3.55E-03
28.483,-7.35E-04,-3.85E-03
28.5,-8.00E-04,-3.90E-03
28.517,-8.20E-04,-3.63E-03
28.533,-4.17E-04,-3.26E-03
28.55,3.45E-04,-2.59E-03
28.567,7.84E-04,-1.83E-03
28.583,1.22E-03,-9.54E-04
28.6,1.40E-03,9.74E-05
28.617,1.40E-03,1.14E-03
28.633,1.41E-03,2.02E-03
28.65,1.90E-03,3.01E-03
28.667,2.50E-03,3.91E-03
28.683,2.85E-03,4.67E-03
28.7,2.86E-03,4.85E-03
28.717,2.77E-03,4.95E-03
28.733,2.55E-03,4.90E-03
28.75,2.16E-03,4.70E-03
28.767,1.83E-03,4.12E-03
28.783,1.71E-03,3.34E-03
28.8,1.34E-03,2.55E-03
28.817,7.42E-04,1.68E-03
28.833,-1.98E-05,5.13E-04
28.85,-8.51E-04,-3.84E-04
28.867,-1.76E-03,-1.33E-03
28.883,-2.33E-03,-2.38E-03
28.9,-2.57E-03,-3.19E-03
28.917,-2.52E-03,-3.87E-03
28.933,-2.53E-03,-4.12E-03
28.95,-2.51E-03,-4.25E-03
28.967,-2.95E-03,-4.15E-03
28.983,-3.06E-03,-3.95E-03
29,-2.94E-03,-3.35E-03
29.017,-2.40E-03,-2.72E-03
29.033,-1.65E-03,-1.77E-03
29.05,-9.18E-04,-9.45E-04
29.067,-3.94E-04,1.85E-04
29.083,-3.17E-05,1.23E-03
29.1,3.30E-04,2.28E-03
29.117,6.81E-04,3.30E-03
29.133,1.08E-03,4.09E-03
29.15,1.76E-03,4.79E-03
29.167,2.47E-03,4.96E-03
29.183,2.95E-03,5.16E-03
29.2,2.89E-03,5.30E-03
29.217,2.74E-03,4.96E-03
29.233,2.62E-03,4.50E-03
29.25,2.20E-03,3.93E-03
29.267,2.00E-03,2.92E-03
29.283,1.99E-03,2.08E-03
29.3,1.81E-03,1.11E-03
29.317,1.24E-03,2.69E-05
29.333,4.45E-04,-8.26E-04
29.35,-1.98E-04,-1.72E-03
29.367,-7.60E-04,-2.48E-03
29.383,-7.51E-04,-3.17E-03
29.4,-7.80E-04,-3.44E-03
29.417,-2.89E-04,-3.83E-03
29.433,-2.17E-04,-3.78E-03
29.45,-2.21E-04,-3.35E-03
29.467,-2.59E-04,-3.07E-03
29.483,-1.54E-04,-2.38E-03
29.5,-5.56E-05,-1.58E-03
29.517,5.14E-04,-5.66E-04
29.533,1.20E-03,3.83E-04
29.55,1.83E-03,1.37E-03
29.567,1.92E-03,2.32E-03
29.583,1.92E-03,3.17E-03
29.6,1.89E-03,4.01E-03
29.617,1.90E-03,4.60E-03
29.633,1.96E-03,4.83E-03
29.65,2.21E-03,4.82E-03
29.667,2.24E-03,4.73E-03
29.683,2.03E-03,4.17E-03
29.7,1.40E-03,3.59E-03
29.717,6.07E-04,2.80E-03
29.733,5.40E-05,1.91E-03
29.75,-4.36E-04,1.05E-03
29.767,-9.91E-04,9.94E-06
29.783,-1.40E-03,-9.48E-04
29.8,-1.85E-03,-1.82E-03
29.817,-2.30E-03,-2.59E-03
29.833,-2.90E-03,-3.27E-03
29.85,-3.25E-03,-3.84E-03
29.867,-3.20E-03,-4.06E-03
29.883,-3.05E-03,-4.05E-03
29.9,-2.50E-03,-4.04E-03
29.917,-2.17E-03,-3.55E-03
29.933,-2.10E-03,-3.13E-03
29.95,-1.68E-03,-2.43E-03
29.967,-1.54E-03,-1.26E-03
29.983,-9.74E-04,-3.64E-04
30,-2.27E-04,5.72E-04
30.017,5.39E-04,1.69E-03
30.033,1.27E-03,2.54E-03
30.05,1.80E-03,3.40E-03
30.067,2.17E-03,4.11E-03
30.083,2.28E-03,4.71E-03
30.1,2.62E-03,4.94E-03
30.117,2.92E-03,4.91E-03
30.133,3.37E-03,4.78E-03
30.15,3.43E-03,4.57E-03
